Style,Category
Abbey Single Ale,Dark Ale
Altbier,Brown Ale
American Adjunct Lager,Pale Lager
American Amber / Red Ale,Pale Ale
American Amber / Red Lager,Dark Lager
American Barleywine,Strong Ale
American Black Ale,Lager
American Blonde Ale,Pale Ale
American Brown Ale,Brown Ale
American Dark Wheat Ale,Wheat
American Double / Imperial IPA,IPA
American Double / Imperial Pilsner,Pale Lager
American Double / Imperial Stout,Stout
American India Pale Lager,Pale Lager
American IPA,IPA
American Malt Liquor,Pale Lager
American Pale Ale (APA),Pale Ale
American Pale Lager,Pale Lager
American Pale Wheat Ale,Wheat
American Pilsner,Strong Ale
American Porter,Porter
American Stout,Stout
American Strong Ale,Strong Ale
American White IPA,IPA
American Wild Ale,Sour Beer
Baltic Porter,Porter
Belgian Dark Ale,Brown Ale
Belgian IPA,IPA
Belgian Pale Ale,Pale Ale
Belgian Strong Dark Ale,Strong Ale
Belgian Strong Pale Ale,Strong Ale
Berliner Weissbier,Sour Beer
Bière de Garde,Pale Ale
Bock,Bock
Braggot,Hybrid Beer
California Common / Steam Beer,Hybrid Beer
Chile Beer,Specialty Beers
Cider,Specialty Beers
Cream Ale,Hybrid Beer
Czech Pilsener,Pale Lager
Doppelbock,Bock
Dortmunder / Export Lager,Pale Lager
Dubbel,Dark Ale
Dunkelweizen,Wheat
English Barleywine,Strong Ale
English Bitter,Pale Ale
English Brown Ale,Brown Ale
English Dark Mild Ale,Brown Ale
English India Pale Ale (IPA),IPA
English Pale Ale,Pale Ale
English Pale Mild Ale,Pale Ale
English Stout,Stout
English Strong Ale,Strong Ale
Euro Dark Lager,Dark Lager
Euro Pale Lager,Pale Lager
Extra Special / Strong Bitter (ESB),Pale Ale
Flanders Oud Bruin,Sour Beer
Flanders Red Ale,Sour Beer
Foreign / Export Stout,Stout
Fruit / Vegetable Beer,Specialty Beers
German Pilsener,Pale Lager
Gose,Sour Beer
Grisette,Pale Ale
Hefeweizen,Wheat
Herbed / Spiced Beer,Specialty Beers
Irish Dry Stout,Stout
Irish Red Ale,Pale Ale
Keller Bier / Zwickel Bier,Pale Lager
Kölsch,Pale Ale
Kristalweizen,Wheat
Light Lager,Pale Lager
Low Alcohol Beer,Specialty Beers
Maibock / Helles Bock,Bock
Märzen / Oktoberfest,Lager
Mead,Specialty Beers
Milk / Sweet Stout,Stout
Munich Dunkel Lager,Dark Lager
Munich Helles Lager,Pale Lager
Oatmeal Stout,Stout
Old Ale,Strong Ale
Other,Specialty Beers
Pumpkin Ale,Specialty Beers
Quadrupel (Quad),Strong Ale
Radler,Hybrid Beer
Rauchbier,Dark Lager
Roggenbier,Dark Ale
Russian Imperial Stout,Stout
Rye Beer,Specialty Beers
Saison / Farmhouse Ale,Pale Ale
Schwarzbier,Dark Lager
Scotch Ale / Wee Heavy,Strong Ale
Scottish Ale,Dark Ale
Shandy,Hybrid Beer
Smoked Beer,Specialty Beers
Tripel,Strong Ale
Vienna Lager,Dark Lager
Wheat Ale,Wheat
Winter Warmer,Dark Ale
Witbier,Wheat